targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
NGC3640,1298,NGC3640,21,"('170.27854', '3.23483')","('170.27854', '3.23483')",2.0,2.0,171.91391896736113,145.7872868257037,0.0,x,1582.0,1298.0,0.0,22.7,x,27.7,22.2,37.0,100.0,x,238.86,.E.3...,-99.99,100.0,E3,E3,0.00433
NGC3640,1298,NGC3630,21,"('170.27854', '3.23483')","('170.07075', '2.96439')",0.10687276894034677,0.041780500367353576,155.27250219409794,116.84142672870782,171.93169479182737,x,1782.0,1499.0,201.0,28.9,x,23.9,10.7,63.0,37.0,0.5,274.25,.L..../,-99.99,37.0,S0,S0,0.005
NGC3640,1298,UGC06345,21,"('170.27854', '3.23483')","('170.065', '2.52528')",0.0015395161182669397,7.485124465913822e-18,77.92791269481938,26.105018674576737,159.0548047363307,x,1885.0,1602.0,304.0,12.3,x,8.8,5.3,53.0,75.0,58.3,140.65,.IBS9..,-99.99,75.0,IB(s)m,IB(s)m,0.005344
NGC3640,1298,SDSSJ1121+0324,21,"('170.27854', '3.23483')","('170.47037', '3.40589')",1.8493796541076107e-05,0.0,28.99554748433651,3.043189116699782,95.1011975082906,x,1507.0,1223.0,-75.0,21.22,x,2.1,1.2,56.0,72.0,23.8,-99.99,x,-99.99,-99,BlueCG,BlueCG,0.004079
NGC3640,1298,SDSSJ112014.70+023120.9,21,"('170.27854', '3.23483')","('170.06125', '2.5225')",2.6850404587728173e-06,3.649868235920625e-20,108.4123997055851,53.509700055223625,347.6606616578413,x,1900.0,1617.0,319.0,26.75,x,14.2,9.8,46.0,29.0,12.1,-99.99,x,-99.99,-99,x,x,0.005393
NGC3640,1298,NGC3664A,21,"('170.27854', '3.23483')","('171.10458', '3.2225')",7.919365211554966e-11,4.825576537899448e-89,78.53786744113215,26.55125232451381,378.61056433204396,x,1611.0,1326.0,28.0,26.3,x,8.9,8.9,0.0,-99,9.9,49.91,RSBS9*.,-99.99,-99,(R)SB(s)m:,(R)SB(s)m:,0.004423
NGC3640,1298,KPG283B,21,"('170.27854', '3.23483')","('171.10342', '3.31411')",9.770878150534256e-14,1.4313601695076557e-204,61.19983704356188,15.43787550150603,334.42608790423566,x,1645.0,1360.0,62.0,23.16,x,6.2,2.2,70.0,106.0,21.5,-99.99,x,-99.99,-99,Sm,Sm,0.004535
NGC3640,1298,SDSSJ112425.02+031316.4,21,"('170.27854', '3.23483')","('171.10425', '3.22125')",9.523216421411573e-18,0.0,52.027780007432355,10.846612374377543,325.6556652648752,x,1607.0,1322.0,24.0,22.63,x,4.9,2.1,65.0,165.0,74.1,-99.99,x,-99.99,-99,x,x,0.00441
NGC3640,1298,SDSSJ112204.12+033651.6,21,"('170.27854', '3.23483')","('170.5172', '3.61435')",2.398842979261713e-18,0.0,29.941368737561735,3.263127334322092,189.57526079859562,x,1721.0,1437.0,139.0,24.24,x,2.2,1.6,45.0,15.0,17.1,-99.99,x,-99.99,-99,x,x,0.004794
NGC3640,1298,NGC3664,21,"('170.27854', '3.23483')","('171.10104', '3.325')",1.2785304116485475e-18,0.0,54.92250663883951,12.201516299214617,351.7982498122031,x,1666.0,1381.0,83.0,24.4,x,5.3,4.7,26.0,40.0,43.7,122.5,.SBS9P.,-99.99,-99,SB(s)m_pec,SB(s)m_pec,0.004607
